Copies,Date,Decision?,Draft length,DraftType,Last Pick,Lineup,Name,Overall,Pick,Player,Position,Scoring,Teams,league_id
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ",Great American Olympians Dynasty League,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,65420
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 2-4, TE: 1-2, PK: 1, Def: 1, ",Knoxville Dynasty League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,31946
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, ",Nerd Herd,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,67148
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-5, WR: 2-6, TE: 1-3, PK: 1, Def: 1, ",Smashmouth Football League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,63312
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-5, WR: 1-5, TE: 1-5, ",HyperActive Dynasty League H $50,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,21095
2.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, Def: 1, ",NFDL (32 Team Dynasty),1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",32.0,48454
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-6, PK: 1, Def: 1, ",Modesto Dynasty League,1,1.01, , ,"QB_pTD: 0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",10.0,31684
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-5, WR: 3-6, TE: 1-4, PK: 1, PN: 1, DE: 1-3, DT: 1-3, LB: 3-4, CB: 1-3, S: 1-3, ",Quarantine Devy-19 League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.5, WR_PPR: 1.0, TE_PPR: 2.0",14.0,67592
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-2, WR: 1-3, TE: 1-2, PK: 1, DT+DE: 3-4, LB: 3-4, CB+S: 4-5, ",FFL Online,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,36274
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, ST: 1, DT+DE: 1, LB: 2, CB+S: 2, ",B B F F S L - 2021,1,1.01, , ,"QB_pTD: 75.0, RB_PPR: 4.0, WR_PPR: 4.0, TE_PPR: 5.0",14.0,67344
1.0,1/1/1970,,,SAME,,"QB: 2, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, DT+DE: 2, LB: 2, CB+S: 2, ",The League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",10.0,22022
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-5, WR: 1-5, TE: 1-5, PK: 1, DT+DE: 1-5, LB: 1-5, CB+S: 1-5, ",MTL 2021: More Taste League,1,1.01, , ,"QB_pTD: 0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,22327
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, Def: 1, ",Power Happy,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",14.0,21070
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ",PRIME DYNASTY 1.01,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.75",12.0,48738
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ",Rise To the Challenge 35.4,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",14.0,67883
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ",Gridiron Legends - GLFFL,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 1.0",12.0,18787
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-5, WR: 2-5, TE: 1-5, ",Gridiron Elite Lazy Man's Best ball,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",10.0,24415
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 2-4, TE: 1-2, Def: 1, ",Whack-Ass Fantasy Football League,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,11257
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1, DE: 2-3, DT: 1-2, LB: 3-4, CB: 2-3, S: 2-3, ",Game of Bowls,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,33418
1.0,1/1/1970,,,SAME,,"QB: 1, RB+WR+TE: 5, DT+DE: 0-5, LB: 0-5, CB+S: 0-5, ",Stephen’s Dynasty Fantasy Football League,1,1.01, , ,"QB_pTD: 0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",16.0,10345
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ",Sunday Massacres,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,28375
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-2, PK: 1, Def: 1, ",No Remorse Dynasty ,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,31565
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, TMPK: 1, Def: 1, ",GSI Dynasty Best Ball,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,51645
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 1-6, WR: 1-6, TE: 1-6, ",Trade Addicts 4,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,62654
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-2, PK: 1, Def: 1, ",Fantasy Football Royalty,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",16.0,18120
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 2-4, TE: 1-2, PK: 1, DT+DE: 3, LB: 3, CB: 2, S: 2, ",United States of Australia,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,36626
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 1-5, WR: 2-6, TE: 1-5, ",Hogwarts: The Stomping Ground,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",16.0,40561
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 3-5, TE: 1-3, PK: 1, Def: 1, ",Armiger Dynasty Football,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,49603
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-5, WR: 3-6, TE: 1-4, ",Battle of the Trident,1,1.01, , ,"QB_pTD: 21.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,68169
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, Def: 1, ",The Cadle Guys,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,70438
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Silver Dynasty 140592,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,63340
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Tin Dynasty 140156,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,25693
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-4, WR: 2-5, TE: 1-3, ",GI Devy Dynasty,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,47071
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ",DataForce: TMNT,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,55851
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 1-6, WR: 1-6, TE: 1-6, ",#StoopsMadness 1,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,10287
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Copper Dynasty 140367 - Ghost of 36,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,28729
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ",Duck Dynasty,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",10.0,50811
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 3-6, TE: 0-3, ",League of Rock,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.1, WR_PPR: 1.1, TE_PPR: 2.2",12.0,33597
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-4, WR: 2-4, TE: 1-3, DT+DE: 2-3, LB: 2-3, CB+S: 2-3, ",Punt On Third Down,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,65590
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 3-5, TE: 1-2, PK: 1, Def: 1, ",O.S.F.F.L. 2 Dynasty Fantasy Football League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,52516
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 2-4, TE: 1-3, PK: 1, DT+DE: 1-2, LB: 1-2, CB+S: 1-2, ",World League II - Est 2015,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,28624
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, DT+DE: 3, LB: 4, CB: 2, S: 2, ",GROUND AND POUND DYNASTY,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.25",16.0,65683
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 3-6, TE: 1-3, PK: 1, DE: 1-4, DT: 1-3, LB: 2-5, CB: 1-4, S: 1-4, ",Side Chick,1,1.01, , ,"QB_pTD: Fail, RB_PPR: Fail, WR_PPR: Fail, TE_PPR: Fail",12.0,33179
1.0,1/1/1970,,,SAME,,"QB: 0-1, RB: 0-3, WR: 0-4, TE: 0-2, PK: 0-1, Def: 0-1, ",JP's DYNASTY IV ,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,34061
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, Def: 1, ",CO Fantasy Football League,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,57449
2.0,1/1/1970,,,SAME,,"QB: 0-2, RB: 0-10, WR: 0-10, TE: 0-10, ",Bbishii Dynasty League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",24.0,20398
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ",Rise To The Challenge 12-200.3,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,58093
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Copper Dynasty 140341,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,57831
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Copper Dynasty 140374 - Ghost of The Orphans,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,42370
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-2, WR: 2-5, TE: 1-3, PK: 1, PN: 1, DE: 1-2, DT: 1-2, LB: 3-4, CB: 1-3, S: 1-3, ",Not So Politically Correct,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,35054
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 2-4, TE: 1-3, ",Tim Tebow Memorial Dynasty League,1,1.01, , ,"QB_pTD: 5.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,55056
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ",Any Given Sunday,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,45845
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, PK: 1, DT+DE: 3-5, LB: 3-5, CB+S: 3-5, ",Fantasy Freaks Dynasty,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",16.0,49384
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ",Rise To The Challenge 12-50.9,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,14600
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-6, ",The Champions Beer League,1,1.01, , ,"QB_pTD: 5.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",16.0,64394
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-7, WR: 1-7, TE: 1-7, ",The Real McCoy's 2021,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,75466
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, DE: 2-4, DT: 1-3, LB: 3-5, CB: 2-4, S: 2-4, ",365 Best Ball - Bravo 18,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",16.0,19806
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Bronze Dynasty 140477,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,27289
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Tin Dynasty 140140,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,57345
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ",Rise To The Challenge 12-200.1,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,58155
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Tin Dynasty 140114,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,78917
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, Def: 1, ",TOPP DOGG DYNASTY ,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,57453
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 1-5, WR: 1-5, TE: 1-5, PK: 1, PN: 1, DT+DE: 2, LB: 3, CB+S: 2, ",Gentlemen’s Association of Fantasy Football - Seventh Heaven,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,73281
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2, WR: 3, TE: 1, PK: 1, DT+DE: 1, LB: 1, CB+S: 1, ",The Dynasty Vagabond League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,31285
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-4, WR: 3-5, TE: 1-3, ",Dirty by the Dozen,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,11480
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-4, WR: 2-5, TE: 1-3, PK: 1, DT+DE: 3-4, LB: 3-4, CB+S: 3-4, ",Elite Dynasty Football,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0.5",10.0,15060
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-4, WR: 2-5, TE: 1-3, PK: 1, Def: 1, ",Butter My Balls,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,51512
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-5, WR: 1-5, TE: 1-5, PK: 1, Def: 1, ",Prime Time Dynasty,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 1.0",12.0,59644
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ",*The Greatest Dynasty on Earth*,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.25, WR_PPR: 1.0, TE_PPR: 1.5",12.0,68338
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-4, ",Dynasty Bros C2C,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 2.0",12.0,63694
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-3, WR: 3-4, TE: 1-2, PK: 1-2, Def: 1, ",Prince George Dynasty 2,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,23943
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 2-4, TE: 1-2, PK: 1, DT+DE: 1, LB: 1, CB+S: 1, ",TNNFFL '21 - Season #14 (est. 2008),1,1.01, , ,"QB_pTD: 5.0, RB_PPR: 0.3, WR_PPR: 0.3, TE_PPR: 0.3",12.0,10811
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-4, WR: 2-5, TE: 1-4, PK: 1, DT+DE: 2-3, LB: 2-3, CB+S: 2-3, ",Zealots Field AC 01,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",12.0,15739
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-5, WR: 2-5, TE: 1-3, PK: 1, DE: 2, DT: 1-2, LB: 3-4, CB: 2, S: 2, ",Shaolin - Dynasty League,1,1.01, , ,"QB_pTD: 5.0, RB_PPR: 1.0, WR_PPR: 1.25, TE_PPR: 1.5",12.0,20388
1.0,1/1/1970,,,SAME,,"QB: 0-1, RB: 2, WR+TE: 1-3, TMPK: 1, Def: 0-1, ",Whaler Fantasy Football,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0, WR_PPR: 0, TE_PPR: 0",16.0,28362
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Bronze Dynasty 140457,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,27843
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 3-5, TE: 1-3, ",Body Count Dynasty League,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,65607
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, DT+DE: 1-2, LB: 1-2, CB+S: 1-2, ",IDP Dynasty ,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,23517
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-4, WR: 2-4, TE: 1-3, PK: 1, Def: 1, ",The Dirty Dozen Dynasty League,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.5",12.0,12358
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 3-4, TE: 1-2, Def: 1, ",Ditka's Dynasty ,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 0.5, WR_PPR: 0.5, TE_PPR: 0.5",12.0,56971
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 2-3, TE: 1-2, PK: 1, Def: 1, DT+DE: 2-3, LB: 2-3, CB+S: 2-3, ",King of the Room Dynasty League ,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,27037
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 2-3, WR: 2-4, TE: 1-3, PK: 1, DT+DE: 2, LB: 2, CB+S: 2, ",NI Dynasty League,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,22162
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 1-8, WR: 1-8, TE: 1-8, ",The Covid Cabana,1,1.01, , ,"QB_pTD: 0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,30996
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-6, WR: 2-6, TE: 1-5, ",DLF Dynasty Champion Series 022 - South,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",12.0,21304
1.0,1/1/1970,,,SAME,,"QB: 1-2, RB: 2-5, WR: 3-6, TE: 1-3, PK: 1, Def: 1, ",FFFN - Twisted Black Sundays 1,1,1.01, , ,"QB_pTD: 6.0, RB_PPR: 1.0, WR_PPR: 1.25, TE_PPR: 1.75",14.0,73037
1.0,1/1/1970,,,SAME,,"QB: 1, RB: 1-3, WR: 1-3, TE: 1-3, PK: 1, Def: 1, ",Masters Bronze Dynasty 140559 - Refugees of 35,1,1.01, , ,"QB_pTD: 4.0, RB_PPR: 1.0, WR_PPR: 1.0, TE_PPR: 1.0",10.0,14594
