,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
27,24,Lamine Diane,FR,2018-19,F,Cal State Northridge,Big West,33,1165,340,701,.485,333,678,7,23,.304,131,251,.522,108,260,368,68,50,72,105,112,818,35.3,10.3,21.2,10.1,20.5,0.2,0.7,4.0,7.6,3.3,7.9,11.2,2.1,1.5,2.2,3.2,3.4,24.8
28,25,Jermaine Marrow,SR,2019-20,G,Hampton,Big South,28,1058,221,543,.407,162,342,59,201,.294,192,252,.762,21,69,90,183,34,2,85,86,693,37.8,7.9,19.4,5.8,12.2,2.1,7.2,6.9,9.0,0.8,2.5,3.2,6.5,1.2,0.1,3.0,3.1,24.8
29,26,Josh Adams,SR,2015-16,G,Wyoming,MWC,30,1106,217,492,.441,121,238,96,254,.378,210,254,.827,18,148,166,127,44,18,114,84,740,36.9,7.2,16.4,4.0,7.9,3.2,8.5,7.0,8.5,0.6,4.9,5.5,4.2,1.5,0.6,3.8,2.8,24.7
30,27,Damian Lillard,JR,2011-12,G,Weber State,Big Sky,32,1105,231,495,.467,137,265,94,230,.409,228,257,.887,17,144,161,128,47,7,74,62,784,34.5,7.2,15.5,4.3,8.3,2.9,7.2,7.1,8.0,0.5,4.5,5.0,4.0,1.5,0.2,2.3,1.9,24.5
31,28,Ja Morant,SO,2018-19,G,Murray State,OVC,33,1207,265,531,.499,208,374,57,157,.363,221,272,.813,40,148,188,331,58,27,170,48,808,36.6,8.0,16.1,6.3,11.3,1.7,4.8,6.7,8.2,1.2,4.5,5.7,10.0,1.8,0.8,5.2,1.5,24.5
32,29,Kay Felder,JR,2015-16,G,Oakland,Horizon,35,1286,269,612,.440,193,398,76,214,.355,239,282,.848,26,123,149,324,69,7,120,104,853,36.7,7.7,17.5,5.5,11.4,2.2,6.1,6.8,8.1,0.7,3.5,4.3,9.3,2.0,0.2,3.4,3.0,24.4
33,30,Jermaine Marrow,JR,2018-19,G,Hampton,Big South,35,1275,274,649,.422,186,411,88,238,.370,218,269,.810,26,116,142,171,56,6,111,110,854,36.4,7.8,18.5,5.3,11.7,2.5,6.8,6.2,7.7,0.7,3.3,4.1,4.9,1.6,0.2,3.2,3.1,24.4
34,31,Justin Wright-Foreman,JR,2017-18,G,Hofstra,CAA,31,1171,264,588,.449,168,326,96,262,.366,131,164,.799,10,93,103,100,25,7,69,62,755,37.8,8.5,19.0,5.4,10.5,3.1,8.5,4.2,5.3,0.3,3.0,3.3,3.2,0.8,0.2,2.2,2.0,24.4
35,32,Antoine Davis,SO,2019-20,G,Detroit Mercy,Horizon,30,1102,237,623,.380,136,311,101,312,.324,154,171,.901,9,85,94,134,52,3,136,75,729,36.7,7.9,20.8,4.5,10.4,3.4,10.4,5.1,5.7,0.3,2.8,3.1,4.5,1.7,0.1,4.5,2.5,24.3
36,33,Carsen Edwards,JR,2018-19,G,Purdue,Big Ten,36,1275,277,703,.394,142,323,135,380,.355,185,221,.837,14,116,130,104,48,10,113,73,874,35.4,7.7,19.5,3.9,9.0,3.8,10.6,5.1,6.1,0.4,3.2,3.6,2.9,1.3,0.3,3.1,2.0,24.3
37,34,Billy Baron,SR,2013-14,G,Canisius,MAAC,34,1325,247,532,.464,140,278,107,254,.421,220,249,.884,17,149,166,180,56,1,101,38,821,39.0,7.3,15.6,4.1,8.2,3.1,7.5,6.5,7.3,0.5,4.4,4.9,5.3,1.6,0.0,3.0,1.1,24.1
38,35,Mike Daum,JR,2017-18,F,South Dakota State,Summit,35,1090,273,591,.462,177,365,96,226,.425,194,228,.851,64,295,359,45,17,26,72,84,836,31.1,7.8,16.9,5.1,10.4,2.7,6.5,5.5,6.5,1.8,8.4,10.3,1.3,0.5,0.7,2.1,2.4,23.9
39,36,Luka Garza,JR,2019-20,F,Iowa,Big Ten,31,991,287,530,.542,248,421,39,109,.358,127,195,.651,111,194,305,36,26,55,57,78,740,32.0,9.3,17.1,8.0,13.6,1.3,3.5,4.1,6.3,3.6,6.3,9.8,1.2,0.8,1.8,1.8,2.5,23.9
40,37,Dallas Moore,SR,2016-17,G,North Florida,A-Sun,34,1192,299,613,.488,199,362,100,251,.398,114,138,.826,26,81,107,135,39,3,82,39,812,35.1,8.8,18.0,5.9,10.6,2.9,7.4,3.4,4.1,0.8,2.4,3.1,4.0,1.1,0.1,2.4,1.1,23.9
41,38,Quincy Roberts,JR,2011-12,G,Grambling,SWAC,20,746,149,363,.410,110,241,39,122,.320,141,176,.801,24,95,119,32,20,5,75,40,478,37.3,7.5,18.2,5.5,12.1,2.0,6.1,7.1,8.8,1.2,4.8,6.0,1.6,1.0,0.3,3.8,2.0,23.9
42,39,R.J. Cole,FR,2017-18,G,Howard,MEAC,33,1252,241,612,.394,132,308,109,304,.359,191,248,.770,27,103,130,200,57,0,127,87,782,37.9,7.3,18.5,4.0,9.3,3.3,9.2,5.8,7.5,0.8,3.1,3.9,6.1,1.7,0.0,3.8,2.6,23.7
43,40,Nick Mayo,SR,2018-19,F,Eastern Kentucky,OVC,31,1079,245,530,.462,191,367,54,163,.331,190,220,.864,70,201,271,70,38,55,85,83,734,34.8,7.9,17.1,6.2,11.8,1.7,5.3,6.1,7.1,2.3,6.5,8.7,2.3,1.2,1.8,2.7,2.7,23.7
44,,Totals,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
46,41,Patrick Miller,JR,2013-14,G,Tennessee State,OVC,30,1132,230,514,.447,186,383,44,131,.336,208,268,.776,45,89,134,123,49,5,100,88,712,37.7,7.7,17.1,6.2,12.8,1.5,4.4,6.9,8.9,1.5,3.0,4.5,4.1,1.6,0.2,3.3,2.9,23.7
47,42,Stefan Moody,SR,2015-16,G,Mississippi,SEC,31,1072,208,509,.409,105,237,103,272,.379,212,256,.828,31,69,100,133,46,3,118,75,731,34.6,6.7,16.4,3.4,7.6,3.3,8.8,6.8,8.3,1.0,2.2,3.2,4.3,1.5,0.1,3.8,2.4,23.6
48,43,Randy Onwuasor,JR,2016-17,G,Southern Utah,Big Sky,33,1155,253,619,.409,194,426,59,193,.306,215,260,.827,52,165,217,107,50,14,113,104,780,35.0,7.7,18.8,5.9,12.9,1.8,5.8,6.5,7.9,1.6,5.0,6.6,3.2,1.5,0.4,3.4,3.2,23.6
49,44,Anthony Barber,JR,2015-16,G,North Carolina State,ACC,33,1278,248,572,.434,205,453,43,119,.361,237,274,.865,21,130,151,147,21,2,85,71,776,38.7,7.5,17.3,6.2,13.7,1.3,3.6,7.2,8.3,0.6,3.9,4.6,4.5,0.6,0.1,2.6,2.2,23.5
50,45,Jordan Davis,SR,2018-19,G,Northern Colorado,Big Sky,32,1082,256,540,.474,202,390,54,150,.360,186,231,.805,29,121,150,149,45,10,107,73,752,33.8,8.0,16.9,6.3,12.2,1.7,4.7,5.8,7.2,0.9,3.8,4.7,4.7,1.4,0.3,3.3,2.3,23.5
51,46,Jack Gibbs,JR,2015-16,G,Davidson,A-10,31,1099,244,565,.432,162,320,82,245,.335,158,188,.840,28,100,128,152,56,2,100,59,728,35.5,7.9,18.2,5.2,10.3,2.6,7.9,5.1,6.1,0.9,3.2,4.1,4.9,1.8,0.1,3.2,1.9,23.5
52,47,Cameron Young,SR,2018-19,G,Quinnipiac,MAAC,31,1113,222,461,.482,118,223,104,238,.437,180,235,.766,31,128,159,58,35,9,89,69,728,35.9,7.2,14.9,3.8,7.2,3.4,7.7,5.8,7.6,1.0,4.1,5.1,1.9,1.1,0.3,2.9,2.2,23.5
53,48,Demontrae Jefferson,SO,2017-18,G,Texas Southern,SWAC,27,1016,207,493,.420,122,277,85,216,.394,130,158,.823,18,66,84,123,36,0,85,68,629,37.6,7.7,18.3,4.5,10.3,3.1,8.0,4.8,5.9,0.7,2.4,3.1,4.6,1.3,0.0,3.1,2.5,23.3
54,49,Markelle Fultz,FR,2016-17,G,Washington,Pac-12,25,892,209,439,.476,157,313,52,126,.413,109,168,.649,33,110,143,148,40,30,80,63,579,35.7,8.4,17.6,6.3,12.5,2.1,5.0,4.4,6.7,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2
55,50,Tyler Haws,JR,2013-14,G,Brigham Young,WCC,33,1143,252,544,.463,212,445,40,99,.404,223,253,.881,33,93,126,49,34,9,63,75,767,34.6,7.6,16.5,6.4,13.5,1.2,3.0,6.8,7.7,1.0,2.8,3.8,1.5,1.0,0.3,1.9,2.3,23.2
56,51,Doug McDermott,JR,2012-13,F,Creighton,MVC,36,1138,284,518,.548,207,361,77,157,.490,189,216,.875,58,218,276,57,8,2,93,56,834,31.6,7.9,14.4,5.8,10.0,2.1,4.4,5.3,6.0,1.6,6.1,7.7,1.6,0.2,0.1,2.6,1.6,23.2
57,52,LaQuentin Miles,SR,2013-14,G,Central Arkansas,Southland,21,702,175,357,.490,164,322,11,35,.314,126,209,.603,48,109,157,58,29,9,84,42,487,33.4,8.3,17.0,7.8,15.3,0.5,1.7,6.0,10.0,2.3,5.2,7.5,2.8,1.4,0.4,4.0,2.0,23.2
58,53,Cane Broome,SO,2015-16,G,Sacred Heart,NEC,30,1126,236,530,.445,170,318,66,212,.311,156,203,.768,17,131,148,88,51,0,115,71,694,37.5,7.9,17.7,5.7,10.6,2.2,7.1,5.2,6.8,0.6,4.4,4.9,2.9,1.7,0.0,3.8,2.4,23.1
59,54,Obi Emegano,JR,2015-16,G,Oral Roberts,Summit,29,1026,210,484,.434,159,350,51,134,.381,198,232,.853,28,121,149,53,33,10,51,69,669,35.4,7.2,16.7,5.5,12.1,1.8,4.6,6.8,8.0,1.0,4.2,5.1,1.8,1.1,0.3,1.8,2.4,23.1
60,55,Tyler Hall,SO,2016-17,G,Montana State,Big Sky,32,1101,240,504,.476,120,224,120,280,.429,139,166,.837,17,155,172,90,34,12,65,78,739,34.4,7.5,15.8,3.8,7.0,3.8,8.8,4.3,5.2,0.5,4.8,5.4,2.8,1.1,0.4,2.0,2.4,23.1
61,56,Tyler Harvey,JR,2014-15,G,Eastern Washington,Big Sky,32,1182,230,490,.469,102,193,128,297,.431,150,176,.852,20,96,116,82,36,4,64,60,738,36.9,7.2,15.3,3.2,6.0,4.0,9.3,4.7,5.5,0.6,3.0,3.6,2.6,1.1,0.1,2.0,1.9,23.1
62,57,Myles Powell,JR,2018-19,G,Seton Hall,Big East,34,1225,252,564,.447,145,269,107,295,.363,173,206,.840,26,110,136,99,68,6,101,76,784,36.0,7.4,16.6,4.3,7.9,3.1,8.7,5.1,6.1,0.8,3.2,4.0,2.9,2.0,0.2,3.0,2.2,23.1
63,58,Jairus Lyles,SO,2015-16,G,Maryland-Baltimore County,AEC,21,761,170,360,.472,132,249,38,111,.342,104,149,.698,27,89,116,59,53,0,62,59,482,36.2,8.1,17.1,6.3,11.9,1.8,5.3,5.0,7.1,1.3,4.2,5.5,2.8,2.5,0.0,3.0,2.8,23.0
64,59,Aaron Nesmith,SO,2019-20,F,Vanderbilt,SEC,14,500,105,205,.512,45,90,60,115,.522,52,63,.825,11,57,68,13,20,12,24,39,322,35.7,7.5,14.6,3.2,6.4,4.3,8.2,3.7,4.5,0.8,4.1,4.9,0.9,1.4,0.9,1.7,2.8,23.0
65,60,Alec Peters,SR,2016-17,F,Valparaiso,Horizon,29,1019,218,468,.466,160,308,58,160,.363,172,194,.887,74,219,293,64,23,11,71,64,666,35.1,7.5,16.1,5.5,10.6,2.0,5.5,5.9,6.7,2.6,7.6,10.1,2.2,0.8,0.4,2.4,2.2,23.0
66,,Totals,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
68,61,Jhivvan Jackson,SO,2018-19,G,Texas-San Antonio,CUSA,29,894,222,575,.386,118,279,104,296,.351,115,136,.846,13,105,118,71,35,2,68,80,663,30.8,7.7,19.8,4.1,9.6,3.6,10.2,4.0,4.7,0.4,3.6,4.1,2.4,1.2,0.1,2.3,2.8,22.9
69,62,Doug McDermott,SO,2011-12,F,Creighton,MVC,35,1117,307,511,.601,253,400,54,111,.486,133,167,.796,84,204,288,37,7,3,79,61,801,31.9,8.8,14.6,7.2,11.4,1.5,3.2,3.8,4.8,2.4,5.8,8.2,1.1,0.2,0.1,2.3,1.7,22.9
70,63,Cameron Morse,JR,2016-17,G,Youngstown State,Horizon,31,1123,260,627,.415,184,389,76,238,.319,115,156,.737,16,84,100,96,32,3,66,44,711,36.2,8.4,20.2,5.9,12.5,2.5,7.7,3.7,5.0,0.5,2.7,3.2,3.1,1.0,0.1,2.1,1.4,22.9
71,64,D.J. Balentine,SO,2013-14,G,Evansville,MVC,33,1252,229,528,.434,151,332,78,196,.398,216,255,.847,16,72,88,139,19,4,84,56,752,37.9,6.9,16.0,4.6,10.1,2.4,5.9,6.5,7.7,0.5,2.2,2.7,4.2,0.6,0.1,2.5,1.7,22.8
72,65,Mike Smith,JR,2019-20,G,Columbia,Ivy,30,1132,250,580,.431,188,397,62,183,.339,122,150,.813,13,110,123,134,46,0,89,45,684,37.7,8.3,19.3,6.3,13.2,2.1,6.1,4.1,5.0,0.4,3.7,4.1,4.5,1.5,0.0,3.0,1.5,22.8
73,66,Jon Elmore,JR,2017-18,G,Marshall,CUSA,36,1380,243,554,.439,145,279,98,275,.356,232,281,.826,16,194,210,244,58,13,132,56,816,38.3,6.8,15.4,4.0,7.8,2.7,7.6,6.4,7.8,0.4,5.4,5.8,6.8,1.6,0.4,3.7,1.6,22.7
74,67,R.J. Barrett,FR,2018-19,F,Duke,ACC,38,1341,319,702,.454,246,465,73,237,.308,149,224,.665,59,229,288,164,34,16,123,70,860,35.3,8.4,18.5,6.5,12.2,1.9,6.2,3.9,5.9,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6
75,68,A.J. English,SR,2015-16,G,Iona,MAAC,28,1005,190,439,.433,96,185,94,254,.370,158,189,.836,15,126,141,174,44,14,101,60,632,35.9,6.8,15.7,3.4,6.6,3.4,9.1,5.6,6.8,0.5,4.5,5.0,6.2,1.6,0.5,3.6,2.1,22.6
76,69,MoMo Jones,SR,2012-13,G,Iona,MAAC,34,1246,246,561,.439,190,383,56,178,.315,221,249,.888,24,77,101,116,40,2,114,73,769,36.6,7.2,16.5,5.6,11.3,1.6,5.2,6.5,7.3,0.7,2.3,3.0,3.4,1.2,0.1,3.4,2.1,22.6
77,70,Bryson Scott,SR,2017-18,G,Purdue-Fort Wayne,Summit,33,1026,247,541,.457,197,372,50,169,.296,202,247,.818,20,128,148,86,65,5,91,65,746,31.1,7.5,16.4,6.0,11.3,1.5,5.1,6.1,7.5,0.6,3.9,4.5,2.6,2.0,0.2,2.8,2.0,22.6
78,71,Zion Williamson,FR,2018-19,F,Duke,ACC,33,990,296,435,.680,272,364,24,71,.338,130,203,.640,116,177,293,68,70,59,78,68,746,30.0,9.0,13.2,8.2,11.0,0.7,2.2,3.9,6.2,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6
79,72,Matt Morgan,JR,2017-18,G,Cornell,Ivy,28,969,204,415,.492,129,212,75,203,.369,147,180,.817,11,118,129,90,23,9,69,48,630,34.6,7.3,14.8,4.6,7.6,2.7,7.3,5.3,6.4,0.4,4.2,4.6,3.2,0.8,0.3,2.5,1.7,22.5
80,73,Andre Spight,SR,2017-18,G,Northern Colorado,Big Sky,38,1285,293,661,.443,165,341,128,320,.400,141,180,.783,20,128,148,139,44,10,112,73,855,33.8,7.7,17.4,4.3,9.0,3.4,8.4,3.7,4.7,0.5,3.4,3.9,3.7,1.2,0.3,2.9,1.9,22.5
81,74,Rashawn Thomas,SR,2016-17,F,Texas A&M-Corpus Christi,Southland,34,1145,268,511,.524,254,474,14,37,.378,215,298,.721,78,227,305,92,53,69,126,118,765,33.7,7.9,15.0,7.5,13.9,0.4,1.1,6.3,8.8,2.3,6.7,9.0,2.7,1.6,2.0,3.7,3.5,22.5
82,75,Ty Cockfield,SR,2018-19,G,Arkansas State,Sun Belt,32,1122,237,540,.439,168,346,69,194,.356,173,211,.820,26,88,114,103,36,4,94,65,716,35.1,7.4,16.9,5.3,10.8,2.2,6.1,5.4,6.6,0.8,2.8,3.6,3.2,1.1,0.1,2.9,2.0,22.4
83,76,Keon Johnson,SR,2016-17,G,Winthrop,Big South,32,1124,221,511,.432,119,256,102,255,.400,171,197,.868,14,113,127,83,22,0,74,60,715,35.1,6.9,16.0,3.7,8.0,3.2,8.0,5.3,6.2,0.4,3.5,4.0,2.6,0.7,0.0,2.3,1.9,22.3
84,77,Nate Wolters,SR,2012-13,G,South Dakota State,Summit,33,1256,242,499,.485,178,330,64,169,.379,187,230,.813,36,148,184,193,57,4,77,51,735,38.1,7.3,15.1,5.4,10.0,1.9,5.1,5.7,7.0,1.1,4.5,5.6,5.8,1.7,0.1,2.3,1.5,22.3
85,78,Bryce Aiken,JR,2018-19,G,Harvard,Ivy,18,591,118,272,.434,67,144,51,128,.398,112,131,.855,8,45,53,47,21,0,63,25,399,32.8,6.6,15.1,3.7,8.0,2.8,7.1,6.2,7.3,0.4,2.5,2.9,2.6,1.2,0.0,3.5,1.4,22.2
86,79,Yoeli Childs,SR,2019-20,F,Brigham Young,WCC,19,548,175,305,.574,153,260,22,45,.489,50,93,.538,38,133,171,38,14,17,45,49,422,28.8,9.2,16.1,8.1,13.7,1.2,2.4,2.6,4.9,2.0,7.0,9.0,2.0,0.7,0.9,2.4,2.6,22.2
87,80,Jerrick Harding,SR,2019-20,G,Weber State,Big Sky,29,985,235,482,.488,173,293,62,189,.328,113,131,.863,14,71,85,63,28,4,81,47,645,34.0,8.1,16.6,6.0,10.1,2.1,6.5,3.9,4.5,0.5,2.4,2.9,2.2,1.0,0.1,2.8,1.6,22.2
88,,Totals,Per Game,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
90,81,Tyler Haws,SR,2014-15,G,Brigham Young,WCC,35,1125,258,538,.480,204,391,54,147,.367,206,236,.873,46,110,156,83,33,9,69,48,776,32.1,7.4,15.4,5.8,11.2,1.5,4.2,5.9,6.7,1.3,3.1,4.5,2.4,0.9,0.3,2.0,1.4,22.2
91,82,Matt Morgan,SR,2018-19,G,Cornell,Ivy,31,1000,215,419,.513,112,180,103,239,.431,154,179,.860,7,134,141,93,43,9,104,63,687,32.3,6.9,13.5,3.6,5.8,3.3,7.7,5.0,5.8,0.2,4.3,4.5,3.0,1.4,0.3,3.4,2.0,22.2
